Timestamp,Vosk Raw,Vosk Phase,Vosk AM,Vosk FM,Vosk SSB,Sphinx Raw,Sphinx Phase,Sphinx AM,Sphinx FM,Sphinx SSB,Frequencies (Hz)
2025-05-04 20:29:22,"{
  ""text"" : """"
}","{
  ""text"" : """"
}","{
  ""text"" : """"
}","{
  ""text"" : """"
}","{
  ""text"" : """"
}",pope,up,up,oh,pope,"611.7, 596.8, 830.5, 544.4, 361.9, 421.7, 645.9, 570.1, 633.1, 660.8"
2025-05-04 20:48:51,Whisper Error: memoryview: casts are restricted to C-contiguous views," So he set a beautiful, wonderful, perfect hit in that never-mighting."," keeping set up Un Four, it runs before perfect weapon",," So he's such a beautiful, wonderful, perfect hit in that never-mighting.","15.5, 121.8, 15.5, 267.0, 267.2, 12.0, 267.2, 15.6, 121.7, 267.0"
2025-05-04 20:49:52,Whisper Error: memoryview: casts are restricted to C-contiguous views,,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.,,"9.7, 16.1, 11.6, 15.8, 9.8, 12.1, 15.9, 15.8, 16.1, 16.0"
2025-05-04 20:50:43,Whisper Error: memoryview: casts are restricted to C-contiguous views,,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.,,"16.2, 16.3, 10.4, 11.8, 11.7, 15.7, 15.8, 11.3, 16.0, 15.9"
2025-05-04 20:51:34,Whisper Error: memoryview: casts are restricted to C-contiguous views,,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.,,"16.2, 15.5, 9.6, 11.1, 15.5, 12.6, 15.8, 15.7, 11.2, 12.0"
2025-05-04 20:52:24,Whisper Error: memoryview: casts are restricted to C-contiguous views,,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing.,,"12.0, 16.2, 15.6, 11.0, 16.0, 12.0, 14.2, 15.7, 13.1, 12.1"
2025-05-04 20:53:58," So, I love you. Microphone jack, alpha key, microphone jack.",bridge, So he will love you. Make a phone here. I'll be keen. I'll be keen.,," So, I love you. Microphone jack, alpha key, microphone jack.","94.0, 90.6, 90.5, 90.5, 90.6, 90.5, 94.0, 93.8, 93.9, 93.9"
2025-05-04 20:55:02, the the the the the the the the the the the the the the the,,, I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing. I'm going to do a little bit of the same thing., the the the the the the the the the the the the the the the,"19.5, 11.7, 17.0, 12.5, 10.4, 10.3, 10.5, 16.3, 11.6, 15.9"
2025-05-04 20:55:44,,,, I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room.,,"16.7, 2.2, 2.2, 12.9, 13.5, 2.8, 16.2, 2.4, 12.3, 6.3"
2025-05-04 20:56:34,,,, I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room. I'm going to go to the next room.,,"13.9, 12.7, 14.9, 16.7, 17.6, 13.5, 11.0, 14.9, 10.3, 18.8"
