[2025-02-14_07-47-48-069] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-14_07-47-48-069.wav | Frequencies: [np.float64(5.207862425634255), np.float64(232.61785501166344), np.float64(522.5221967053037), np.float64(456.55593931393645), np.float64(54.68255546915969), np.float64(2584.835717256469), np.float64(2646.462089293141), np.float64(138.00835427930778), np.float64(1059.800003616571), np.float64(2399.956601146453)] | Type: Normal Sound Range
[2025-02-14_07-47-53-082] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-47-53-082.wav | Frequencies: [np.float64(6.943816567512341), np.float64(232.61785501166344), np.float64(74.64602810075766), np.float64(464.3677329523878), np.float64(522.5221967053037), np.float64(121.51678993146596), np.float64(585.8845228838538), np.float64(181.4072078262599), np.float64(409.68517748322813), np.float64(327.22735574401906)] | Type: Normal Sound Range
[2025-02-14_07-47-58-095] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-14_07-47-58-095.wav | Frequencies: [np.float64(1.7359541418780853), np.float64(232.61785501166344), np.float64(522.5221967053037), np.float64(124.1207211442831), np.float64(72.04209688794055), np.float64(442.66830617891173), np.float64(586.7524999547928), np.float64(387.117773638813), np.float64(720.4209688794053), np.float64(317.6796079636896)] | Type: Normal Sound Range
[2025-02-14_07-48-03-108] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-48-03-108.wav | Frequencies: [np.float64(8.679770709390427), np.float64(232.61785501166344), np.float64(119.78083578958788), np.float64(522.5221967053037), np.float64(66.83423446230628), np.float64(457.4239163848755), np.float64(277.75266270049366), np.float64(587.6204770257318), np.float64(407.081246270411), np.float64(164.9156434784181)] | Type: Normal Sound Range
[2025-02-14_07-48-03-811] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-14_07-48-03-811.wav | Frequencies: [np.float64(19.96347263159798), np.float64(2.1699426773476067), np.float64(71.60810835247102), np.float64(105.67620838682843), np.float64(35.370065640765986), np.float64(127.15864089256975), np.float64(141.04627402759442), np.float64(156.23587276902768), np.float64(51.210647185403516), np.float64(170.3405001717871)] | Type: Normal Sound Range
[2025-02-14_07-48-08-121] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-48-08-121.wav | Frequencies: [np.float64(2.6039312128171277), np.float64(232.61785501166344), np.float64(522.5221967053037), np.float64(76.38198224263576), np.float64(124.1207211442831), np.float64(462.63177881050973), np.float64(189.21900146471128), np.float64(585.0165458129147), np.float64(325.49140160214097), np.float64(412.2891086960453)] | Type: Normal Sound Range
[2025-02-14_07-48-13-135] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-48-13-135.wav | Frequencies: [np.float64(4.339885354695213), np.float64(232.61785501166344), np.float64(123.25274407334406), np.float64(452.2160539592412), np.float64(522.5221967053037), np.float64(53.81457839822065), np.float64(711.741198170015), np.float64(588.4884540966709), np.float64(755.1400517169672), np.float64(398.40147556102056)] | Type: Normal Sound Range
[2025-02-14_07-48-13-329] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-48-13-329.wav | Frequencies: [np.float64(13.670638867289922), np.float64(127.15864089256975), np.float64(33.41711723115314), np.float64(0.8679770709390426), np.float64(114.57297336395362), np.float64(164.26466067521383), np.float64(67.05122873004105), np.float64(206.36154861575739), np.float64(142.56523390173774), np.float64(51.42764145313828)] | Type: Normal Sound Range
[2025-02-14_07-48-18-148] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-48-18-148.wav | Frequencies: [np.float64(5.207862425634255), np.float64(232.61785501166344), np.float64(118.0448816477098), np.float64(522.5221967053037), np.float64(74.64602810075766), np.float64(450.4800998173631), np.float64(586.7524999547928), np.float64(404.47731505759384), np.float64(289.9043416936402), np.float64(755.1400517169672)] | Type: Normal Sound Range
[2025-02-14_07-48-23-127] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-48-23-127.wav | Frequencies: [np.float64(15.623587276902768), np.float64(1.5189598741433246), np.float64(34.06810003435742), np.float64(67.05122873004105), np.float64(127.37563516030451), np.float64(160.79275239145764), np.float64(144.73517657908536), np.float64(115.00696189942315), np.float64(51.64463572087304), np.float64(204.6255944738793)] | Type: Normal Sound Range
[2025-02-14_07-48-23-161] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-14_07-48-23-161.wav | Frequencies: [np.float64(6.943816567512341), np.float64(232.61785501166344), np.float64(522.5221967053037), np.float64(57.28648668197681), np.float64(460.0278475976926), np.float64(123.25274407334406), np.float64(734.3086020144301), np.float64(598.0362018770004), np.float64(824.5782173920906), np.float64(413.1570857669843)] | Type: Normal Sound Range
