[2025-02-12_16-37-01-585] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_16-37-01-585.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-37-06-598] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-37-06-598.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-37-11-611] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-37-11-611.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-37-16-625] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-37-16-625.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-37-21-873] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_16-37-21-873.wav | Frequencies: [np.float64(1.0369589450671), np.float64(1.0369589450671), np.float64(1.1060895414049066), np.float64(1.1060895414049066), np.float64(1.1752201377427132), np.float64(1.1752201377427132), np.float64(1.2443507340805198), np.float64(1.2443507340805198), np.float64(1.3134813304183266), np.float64(1.3134813304183266)] | Type: Infrasound Detected
[2025-02-12_16-37-26-886] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-37-26-886.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-37-31-900] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-37-31-900.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-37-36-913] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-37-36-913.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-37-41-927] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-37-41-927.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-37-46-940] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-37-46-940.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-37-51-975] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-37-51-975.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-37-56-989] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-37-56-989.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-38-02-002] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-38-02-002.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
[2025-02-12_16-38-07-016] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-38-07-016.wav | Frequencies: [np.float64(1.0126307604676184), np.float64(1.0126307604676184), np.float64(1.0849615290724484), np.float64(1.0849615290724484), np.float64(1.1572922976772781), np.float64(1.1572922976772781), np.float64(1.229623066282108), np.float64(1.229623066282108), np.float64(1.301953834886938), np.float64(1.301953834886938)] | Type: Infrasound Detected
