[2025-02-12_17-07-37-531] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_17-07-37-531.wav | Frequencies: [np.float64(0.7233076860482989), np.float64(4.701499959313942), np.float64(9.909315298861694), np.float64(15.695776787248084), np.float64(19.38464598609441), np.float64(23.362838259360053), np.float64(29.149299747746444), np.float64(32.76583817798794), np.float64(37.90132274893086), np.float64(43.54312270010759)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-07-42-543] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-07-42-543.wav | Frequencies: [np.float64(0.7233076860482989), np.float64(6.509769174434689), np.float64(12.94720758026455), np.float64(19.38464598609441), np.float64(24.95411516866631), np.float64(28.932307441931954), np.float64(32.982830483802424), np.float64(37.90132274893086), np.float64(43.54312270010759), np.float64(49.11259188267949)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-07-47-557] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-07-47-557.wav | Frequencies: [np.float64(0.21699230581448964), np.float64(3.833530736055984), np.float64(7.884053777926457), np.float64(14.900138332594956), np.float64(19.38464598609441), np.float64(24.158476714013183), np.float64(30.08959973960923), np.float64(33.77846893845555), np.float64(37.90132274893086), np.float64(43.54312270010759)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-07-52-570] Confidence: 0.90 | Text: stop the timer please | Audio: audio_logs/speech_2025-02-12_17-07-52-570.wav | Frequencies: [np.float64(0.14466153720965977), np.float64(4.556838422104283), np.float64(9.909315298861694), np.float64(14.827807563990126), np.float64(19.38464598609441), np.float64(23.362838259360053), np.float64(27.992007450069167), np.float64(34.067792012874875), np.float64(37.90132274893086), np.float64(43.54312270010759)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-07-57-584] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-07-57-584.wav | Frequencies: [np.float64(0.5063153802338092), np.float64(4.701499959313942), np.float64(10.632622984909993), np.float64(14.683146026780467), np.float64(19.38464598609441), np.float64(24.158476714013183), np.float64(28.353661293093314), np.float64(33.05516125240726), np.float64(37.90132274893086), np.float64(43.54312270010759)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-08-02-597] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-08-02-597.wav | Frequencies: [np.float64(0.28932307441931954), np.float64(6.43743840582986), np.float64(10.270969141885844), np.float64(15.695776787248084), np.float64(19.38464598609441), np.float64(23.50749979656971), np.float64(28.064338218673996), np.float64(33.56147663264107), np.float64(39.275607352422625), np.float64(43.54312270010759)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-08-07-610] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-08-07-610.wav | Frequencies: [np.float64(0.5786461488386391), np.float64(5.569469182571901), np.float64(9.619992224442374), np.float64(15.695776787248084), np.float64(19.38464598609441), np.float64(23.796822870989033), np.float64(30.7405766570527), np.float64(36.52703814543909), np.float64(43.54312270010759), np.float64(48.027630353607044)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-08-18-470] Confidence: 0.90 | Text: he needed me babe you sound like an AI | Audio: audio_logs/speech_2025-02-12_17-08-18-470.wav | Frequencies: [np.float64(0.36165384302414944), np.float64(4.701499959313942), np.float64(9.981646067466524), np.float64(15.478784481433594), np.float64(19.38464598609441), np.float64(25.24343824308563), np.float64(28.859976673327125), np.float64(32.69350740938311), np.float64(37.97365351753569), np.float64(43.54312270010759)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-08-23-482] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_17-08-23-482.wav | Frequencies: [np.float64(0.5063153802338092), np.float64(4.773830727918773), np.float64(8.462699926765097), np.float64(14.393822952361147), np.float64(19.38464598609441), np.float64(23.145845953545564), np.float64(29.293961284956104), np.float64(33.56147663264107), np.float64(37.97365351753569), np.float64(43.54312270010759)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-08-28-496] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-08-28-496.wav | Frequencies: [np.float64(0.21699230581448964), np.float64(5.7141307197815605), np.float64(9.981646067466524), np.float64(14.972469101199787), np.float64(19.38464598609441), np.float64(24.23080748261801), np.float64(27.992007450069167), np.float64(33.12749202101209), np.float64(37.97365351753569), np.float64(43.54312270010759)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-08-33-509] Confidence: 0.90 | Text: play Disney movie part 2 | Audio: audio_logs/speech_2025-02-12_17-08-33-509.wav | Frequencies: [np.float64(0.5063153802338092), np.float64(4.195184579080133), np.float64(9.909315298861694), np.float64(15.406453712828766), np.float64(19.09532291167509), np.float64(23.579830565174543), np.float64(30.45125358263338), np.float64(37.32267660009222), np.float64(43.54312270010759), np.float64(48.027630353607044)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-08-38-523] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-08-38-523.wav | Frequencies: [np.float64(0.4339846116289793), np.float64(6.799092248854009), np.float64(12.44089220003074), np.float64(17.86569984539298), np.float64(22.350207498892434), np.float64(26.690053615182226), np.float64(30.30659204542372), np.float64(33.92313047566522), np.float64(37.97365351753569), np.float64(43.54312270010759)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-08-43-535] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-08-43-535.wav | Frequencies: [np.float64(0.650976917443469), np.float64(7.3777383976926485), np.float64(11.066607596538972), np.float64(15.261792175619105), np.float64(19.52930752330407), np.float64(25.74975362331944), np.float64(30.08959973960923), np.float64(33.85079970706039), np.float64(37.97365351753569), np.float64(43.54312270010759)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-08-48-548] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-08-48-548.wav | Frequencies: [np.float64(0.5786461488386391), np.float64(4.629169190709113), np.float64(8.462699926765097), np.float64(12.22389989421625), np.float64(17.86569984539298), np.float64(24.013815176803522), np.float64(27.919676681464335), np.float64(31.75320741752032), np.float64(37.97365351753569), np.float64(43.54312270010759)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-08-53-561] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-08-53-561.wav | Frequencies: [np.float64(1.3742846034917677), np.float64(6.22044610001537), np.float64(9.836984530256863), np.float64(17.214722927949513), np.float64(22.494869036102095), np.float64(26.54539207797257), np.float64(31.391553574496168), np.float64(38.19064582335018), np.float64(43.54312270010759), np.float64(47.4489842047684)] | Type: Low Infrasound Detected (1-10Hz)
[2025-02-12_17-08-58-576] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-08-58-576.wav | Frequencies: [np.float64(0.5063153802338092), np.float64(6.148115331410541), np.float64(12.22389989421625), np.float64(18.44434599423162), np.float64(23.145845953545564), np.float64(28.281330524488485), np.float64(33.12749202101209), np.float64(37.97365351753569), np.float64(43.54312270010759), np.float64(49.11259188267949)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-09-03-610] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-09-03-610.wav | Frequencies: [np.float64(0.5063153802338092), np.float64(6.36510763722503), np.float64(11.283599902353462), np.float64(18.227353688417132), np.float64(22.205545961682773), np.float64(28.281330524488485), np.float64(32.76583817798794), np.float64(37.97365351753569), np.float64(43.54312270010759), np.float64(48.60627650244568)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-09-08-624] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-09-08-624.wav | Frequencies: [np.float64(0.21699230581448964), np.float64(7.0884153232733285), np.float64(11.500592208167951), np.float64(15.478784481433594), np.float64(21.482238275634476), np.float64(25.46043054890012), np.float64(29.221630516351272), np.float64(33.344484326826574), np.float64(38.045984286140516), np.float64(43.54312270010759)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-09-13-636] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-09-13-636.wav | Frequencies: [np.float64(0.36165384302414944), np.float64(4.773830727918773), np.float64(10.343299910490673), np.float64(16.780738316320534), np.float64(21.554569044239305), np.float64(26.979376689601548), np.float64(33.99546124427005), np.float64(38.045984286140516), np.float64(43.54312270010759), np.float64(47.231991898953915)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-09-18-649] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-09-18-649.wav | Frequencies: [np.float64(0.4339846116289793), np.float64(6.148115331410541), np.float64(10.849615290724483), np.float64(17.214722927949513), np.float64(21.626899812844137), np.float64(27.268699764020866), np.float64(33.272153558221746), np.float64(37.97365351753569), np.float64(43.54312270010759), np.float64(49.11259188267949)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-09-23-662] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-09-23-662.wav | Frequencies: [np.float64(0.5063153802338092), np.float64(4.701499959313942), np.float64(9.836984530256863), np.float64(16.057430630272233), np.float64(22.639530573311752), np.float64(27.268699764020866), np.float64(33.344484326826574), np.float64(37.17801506288256), np.float64(43.54312270010759), np.float64(48.1722918908167)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-09-28-676] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-09-28-676.wav | Frequencies: [np.float64(2.2422538267497263), np.float64(6.36510763722503), np.float64(10.704953753514824), np.float64(16.563746010506044), np.float64(21.048253664005497), np.float64(25.605092086109778), np.float64(29.510953590770594), np.float64(33.272153558221746), np.float64(37.97365351753569), np.float64(43.54312270010759)] | Type: Low Infrasound Detected (1-10Hz)
[2025-02-12_17-09-33-689] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-09-33-689.wav | Frequencies: [np.float64(0.36165384302414944), np.float64(6.22044610001537), np.float64(10.198638373281014), np.float64(13.887507572127337), np.float64(18.80599983725577), np.float64(23.218176722150393), np.float64(26.907045920996715), np.float64(33.19982278961692), np.float64(38.76929197218882), np.float64(43.54312270010759)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-09-38-703] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-09-38-703.wav | Frequencies: [np.float64(0.28932307441931954), np.float64(4.629169190709113), np.float64(10.270969141885844), np.float64(15.044799869804615), np.float64(20.252615209352367), np.float64(24.013815176803522), np.float64(29.221630516351272), np.float64(33.19982278961692), np.float64(37.97365351753569), np.float64(43.54312270010759)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-09-43-716] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-09-43-716.wav | Frequencies: [np.float64(0.4339846116289793), np.float64(4.701499959313942), np.float64(9.547661455837545), np.float64(16.780738316320534), np.float64(21.626899812844137), np.float64(25.53276131750495), np.float64(29.583284359375423), np.float64(33.19982278961692), np.float64(37.46733813730188), np.float64(43.54312270010759)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-09-48-731] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-09-48-731.wav | Frequencies: [np.float64(0.36165384302414944), np.float64(5.063153802338092), np.float64(9.186007612813395), np.float64(13.742846034917678), np.float64(18.80599983725577), np.float64(22.639530573311752), np.float64(27.051707458206376), np.float64(33.19982278961692), np.float64(37.53966890590671), np.float64(43.54312270010759)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-09-53-764] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-09-53-764.wav | Frequencies: [np.float64(0.5063153802338092), np.float64(6.943753786063668), np.float64(10.849615290724483), np.float64(16.708407547715705), np.float64(22.567199804706924), np.float64(28.353661293093314), np.float64(33.19982278961692), np.float64(38.19064582335018), np.float64(43.54312270010759), np.float64(47.37665343616357)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-09-58-778] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-09-58-778.wav | Frequencies: [np.float64(0.28932307441931954), np.float64(4.629169190709113), np.float64(8.535030695369926), np.float64(13.236530654683868), np.float64(17.86569984539298), np.float64(23.001184416335903), np.float64(29.366292053560933), np.float64(33.272153558221746), np.float64(38.11831505474535), np.float64(43.54312270010759)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-10-03-791] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-10-03-791.wav | Frequencies: [np.float64(0.5786461488386391), np.float64(6.2927768686202), np.float64(10.849615290724483), np.float64(17.93803061399781), np.float64(25.02644593727114), np.float64(28.932307441931954), np.float64(33.12749202101209), np.float64(37.90132274893086), np.float64(43.54312270010759), np.float64(49.04026111407466)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-10-08-805] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-10-08-805.wav | Frequencies: [np.float64(0.9402999918627885), np.float64(4.846161496523602), np.float64(10.343299910490673), np.float64(14.176830646546657), np.float64(18.37201522562679), np.float64(24.4477997884325), np.float64(31.463884343101), np.float64(37.97365351753569), np.float64(43.54312270010759), np.float64(48.60627650244568)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-10-13-818] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-10-13-818.wav | Frequencies: [np.float64(0.5063153802338092), np.float64(4.484507653499453), np.float64(8.318038389555436), np.float64(11.93457681979693), np.float64(15.551115250038425), np.float64(20.18028444074754), np.float64(25.67742285471461), np.float64(29.43862282216576), np.float64(33.77846893845555), np.float64(37.39500736869705)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-10-18-832] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-10-18-832.wav | Frequencies: [np.float64(0.4339846116289793), np.float64(7.3777383976926485), np.float64(13.381192191893529), np.float64(17.576376770973663), np.float64(23.579830565174543), np.float64(27.341030532625695), np.float64(31.82553818612515), np.float64(37.32267660009222), np.float64(43.47079193150276), np.float64(49.04026111407466)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-10-23-844] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-10-23-844.wav | Frequencies: [np.float64(0.5786461488386391), np.float64(6.22044610001537), np.float64(12.51322296863557), np.float64(17.93803061399781), np.float64(22.205545961682773), np.float64(27.051707458206376), np.float64(33.12749202101209), np.float64(37.46733813730188), np.float64(43.54312270010759), np.float64(50.05289187454228)] | Type: Extreme Infrasound Detected (<1Hz)
[2025-02-12_17-10-28-857] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_17-10-28-857.wav | Frequencies: [np.float64(0.9402999918627885), np.float64(4.918492265128432), np.float64(9.909315298861694), np.float64(15.334122944223935), np.float64(19.09532291167509), np.float64(24.158476714013183), np.float64(30.30659204542372), np.float64(37.17801506288256), np.float64(43.03680731987378), np.float64(46.94266882453459)] | Type: Extreme Infrasound Detected (<1Hz)
