[2025-02-13_09-26-29-299] Confidence: 0.90 | Text: hello | Audio: audio_logs1/speech_2025-02-13_09-26-29-299.wav | Frequencies: [np.float64(0.7956456483607892), np.float64(45.93045333719101), np.float64(18.589175602611167), np.float64(34.86374568271822), np.float64(6.29283376430806), np.float64(70.37847416864072), np.float64(197.681777906367), np.float64(180.6838936004774), np.float64(92.72888374532107), np.float64(49.54702446610369)] | Type: Normal Sound Range
[2025-02-13_09-26-34-313] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-26-34-313.wav | Frequencies: [np.float64(0.7956456483607892), np.float64(45.93045333719101), np.float64(18.516844180032912), np.float64(5.931176651416792), np.float64(33.70644292146616), np.float64(68.85951429449739), np.float64(77.03296504584004), np.float64(61.047720656046), np.float64(10.415724851268513), np.float64(53.52525270790763)] | Type: Normal Sound Range
[2025-02-13_09-26-39-328] Confidence: 0.90 | Text: OK Google | Audio: audio_logs1/speech_2025-02-13_09-26-39-328.wav | Frequencies: [np.float64(0.2169942677347607), np.float64(45.93045333719101), np.float64(7.233142257825357), np.float64(18.589175602611167), np.float64(10.922044809316288), np.float64(89.61863257445616), np.float64(51.282978607981775), np.float64(82.74714742952207), np.float64(33.70644292146616), np.float64(68.0638686461366)] | Type: Normal Sound Range
[2025-02-13_09-26-44-341] Confidence: 0.90 | Text: 385 | Audio: audio_logs1/speech_2025-02-13_09-26-44-341.wav | Frequencies: [np.float64(0.2169942677347607), np.float64(45.93045333719101), np.float64(18.66150702518942), np.float64(3.9058968192256924), np.float64(82.45782173920907), np.float64(14.538615938228967), np.float64(36.238042711705035), np.float64(87.08703278421729), np.float64(10.271062006112006), np.float64(68.42552575902786)] | Type: Normal Sound Range
[2025-02-13_09-26-49-356] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-26-49-356.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(45.93045333719101), np.float64(18.733838447767674), np.float64(3.978228241803946), np.float64(26.111643550749537), np.float64(89.54630115187791), np.float64(60.469069275419976), np.float64(9.620079202907723), np.float64(68.35319433644962), np.float64(50.55966438219924)] | Type: Normal Sound Range
[2025-02-13_09-26-54-370] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-26-54-370.wav | Frequencies: [np.float64(0.2169942677347607), np.float64(45.93045333719101), np.float64(18.66150702518942), np.float64(4.990868157899496), np.float64(53.66991555306414), np.float64(9.620079202907723), np.float64(33.778774344044415), np.float64(68.42552575902786), np.float64(59.16710366901141), np.float64(64.44729751722393)] | Type: Normal Sound Range
[2025-02-13_09-26-59-386] Confidence: 0.90 | Text: American presidential elections | Audio: audio_logs1/speech_2025-02-13_09-26-59-386.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(45.93045333719101), np.float64(18.733838447767674), np.float64(4.339885354695213), np.float64(82.60248458436557), np.float64(8.1011193287644), np.float64(53.30825844017288), np.float64(68.35319433644962), np.float64(33.778774344044415), np.float64(72.18675973309705)] | Type: Normal Sound Range
[2025-02-13_09-27-04-400] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-27-04-400.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(45.93045333719101), np.float64(18.806169870345926), np.float64(5.641850961103778), np.float64(89.47396972929965), np.float64(33.70644292146616), np.float64(10.198730583533752), np.float64(69.36583425254517), np.float64(14.466284515650713), np.float64(73.63338818466212)] | Type: Normal Sound Range
[2025-02-13_09-27-09-414] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-27-09-414.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(44.04983635015642), np.float64(18.806169870345926), np.float64(3.9058968192256924), np.float64(74.64602810075768), np.float64(64.30263467206741), np.float64(52.36794994665558), np.float64(67.9192058009801), np.float64(9.981736315798992), np.float64(89.54630115187791)] | Type: Normal Sound Range
[2025-02-13_09-27-14-450] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-27-14-450.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(44.19449919531293), np.float64(6.871485144934089), np.float64(18.589175602611167), np.float64(69.14883998481041), np.float64(38.26332254389614), np.float64(33.92343718920092), np.float64(12.296341838303105), np.float64(89.47396972929965), np.float64(53.45292128532938)] | Type: Normal Sound Range
[2025-02-13_09-27-19-464] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-27-19-464.wav | Frequencies: [np.float64(0.7233142257825356), np.float64(44.26683061789118), np.float64(18.589175602611167), np.float64(4.701542467586481), np.float64(51.49997287571654), np.float64(33.70644292146616), np.float64(68.49785718160612), np.float64(57.28648668197682), np.float64(8.607439286812173), np.float64(73.0547368040361)] | Type: Normal Sound Range
[2025-02-13_09-27-24-480] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-27-24-480.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(44.33916204046943), np.float64(7.160810835247102), np.float64(18.516844180032912), np.float64(31.60883166669681), np.float64(60.17974358510696), np.float64(65.67693170105423), np.float64(51.21064718540352), np.float64(36.02104844397027), np.float64(11.211370499629302)] | Type: Normal Sound Range
[2025-02-13_09-27-29-495] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-27-29-495.wav | Frequencies: [np.float64(0.2169942677347607), np.float64(44.33916204046943), np.float64(18.589175602611167), np.float64(5.063199580477749), np.float64(33.70644292146616), np.float64(89.54630115187791), np.float64(10.271062006112006), np.float64(14.466284515650713), np.float64(60.75839496573299), np.float64(68.0638686461366)] | Type: Normal Sound Range
[2025-02-13_09-27-34-508] Confidence: 0.90 | Text: 36 | Audio: audio_logs1/speech_2025-02-13_09-27-34-508.wav | Frequencies: [np.float64(0.3616571128912678), np.float64(44.411493463047684), np.float64(18.589175602611167), np.float64(4.918536735321243), np.float64(89.76329541961267), np.float64(68.85951429449739), np.float64(82.67481600694383), np.float64(50.70432722735575), np.float64(10.632719119003273), np.float64(27.19661488942334)] | Type: Normal Sound Range
[2025-02-13_09-27-39-523] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-27-39-523.wav | Frequencies: [np.float64(0.28932569031301425), np.float64(44.411493463047684), np.float64(27.051952044266834), np.float64(18.155187067141643), np.float64(22.56740384441511), np.float64(4.773873890164735), np.float64(55.333538272363974), np.float64(8.679770709390427), np.float64(31.102511708649033), np.float64(60.97538923346775)] | Type: Normal Sound Range
[2025-02-13_09-27-44-538] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-27-44-538.wav | Frequencies: [np.float64(0.7233142257825356), np.float64(44.411493463047684), np.float64(18.66150702518942), np.float64(5.207862425634256), np.float64(53.814578398220654), np.float64(27.268946312001592), np.float64(23.435380915354155), np.float64(33.70644292146616), np.float64(57.792806640024594), np.float64(11.934684725411838)] | Type: Normal Sound Range
[2025-02-13_09-27-49-553] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs1/speech_2025-02-13_09-27-49-553.wav | Frequencies: [np.float64(0.4339885354695214), np.float64(44.33916204046943), np.float64(18.733838447767674), np.float64(7.233142257825357), np.float64(60.25207500768522), np.float64(33.70644292146616), np.float64(51.8616299886078), np.float64(48.172727437116876), np.float64(13.164318909242148), np.float64(70.66779985895373)] | Type: Normal Sound Range
[2025-02-13_09-27-54-567] Confidence: 0.90 | Text: give me a timer for | Audio: audio_logs1/speech_2025-02-13_09-27-54-567.wav | Frequencies: [np.float64(0.2169942677347607), np.float64(44.411493463047684), np.float64(18.66150702518942), np.float64(5.135531003056003), np.float64(9.11375924485995), np.float64(89.32930688414315), np.float64(33.70644292146616), np.float64(68.85951429449739), np.float64(52.874269904703354), np.float64(74.79069094591418)] | Type: Normal Sound Range
