[2025-02-12_11-29-04-497] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_11-29-04-497.wav
[2025-02-12_11-29-09-511] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-29-09-511.wav
[2025-02-12_11-29-14-523] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-29-14-523.wav
[2025-02-12_11-29-19-537] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-29-19-537.wav
[2025-02-12_11-29-24-550] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-29-24-550.wav
[2025-02-12_11-29-29-563] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-29-29-563.wav
[2025-02-12_11-29-34-577] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-29-34-577.wav
[2025-02-12_11-29-39-590] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-29-39-590.wav
[2025-02-12_11-29-44-604] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-29-44-604.wav
[2025-02-12_11-29-49-639] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-29-49-639.wav
[2025-02-12_11-29-54-652] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-29-54-652.wav
[2025-02-12_11-29-59-665] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-29-59-665.wav
[2025-02-12_11-30-04-679] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-30-04-679.wav
[2025-02-12_11-30-09-692] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-30-09-692.wav
[2025-02-12_11-30-14-705] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-30-14-705.wav
[2025-02-12_11-30-19-719] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-30-19-719.wav
[2025-02-12_11-30-24-732] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-30-24-732.wav
[2025-02-12_11-30-29-746] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-30-29-746.wav
[2025-02-12_11-30-34-760] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-30-34-760.wav
[2025-02-12_11-30-39-794] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-30-39-794.wav
[2025-02-12_11-30-44-807] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-30-44-807.wav
[2025-02-12_11-30-49-821] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-30-49-821.wav
[2025-02-12_11-30-54-834] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-30-54-834.wav
[2025-02-12_11-30-59-848] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-30-59-848.wav
[2025-02-12_11-31-04-861] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-31-04-861.wav
[2025-02-12_11-31-09-875] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-31-09-875.wav
[2025-02-12_11-31-14-888] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-31-14-888.wav
[2025-02-12_11-31-19-901] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-31-19-901.wav
[2025-02-12_11-31-24-915] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-31-24-915.wav
[2025-02-12_11-31-29-949] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-31-29-949.wav
[2025-02-12_11-31-34-963] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-31-34-963.wav
[2025-02-12_11-31-39-976] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-31-39-976.wav
[2025-02-12_11-31-44-990] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-31-44-990.wav
[2025-02-12_11-31-50-003] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-31-50-003.wav
[2025-02-12_11-31-55-016] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_11-31-55-016.wav
