[2025-02-12_13-20-12-028] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-20-12-028.wav
[2025-02-12_13-21-05-805] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-21-05-805.wav
[2025-02-12_13-21-10-860] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-21-10-860.wav
[2025-02-12_13-21-15-917] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-21-15-917.wav
[2025-02-12_13-21-20-973] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-21-20-973.wav
[2025-02-12_13-21-26-029] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-21-26-029.wav
[2025-02-12_13-21-31-085] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-21-31-085.wav
[2025-02-12_13-21-36-141] Confidence: 0.90 | Text: it's okay | Audio: audio_logs/speech_2025-02-12_13-21-36-141.wav
[2025-02-12_13-21-41-198] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-21-41-198.wav
[2025-02-12_13-21-46-253] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-21-46-253.wav
[2025-02-12_13-21-51-310] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-21-51-310.wav
[2025-02-12_13-21-56-366] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-21-56-366.wav
[2025-02-12_13-22-01-422] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-22-01-422.wav
[2025-02-12_13-22-06-478] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-22-06-478.wav
[2025-02-12_13-22-11-534] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-22-11-534.wav
[2025-02-12_13-22-16-591] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-22-16-591.wav
[2025-02-12_13-22-21-647] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-22-21-647.wav
[2025-02-12_13-22-26-703] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-22-26-703.wav
[2025-02-12_13-22-31-759] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-22-31-759.wav
[2025-02-12_13-22-36-815] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-22-36-815.wav
[2025-02-12_13-22-41-872] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-22-41-872.wav
[2025-02-12_13-22-46-928] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-22-46-928.wav
[2025-02-12_13-22-51-984] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-22-51-984.wav
[2025-02-12_13-22-57-040] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-22-57-040.wav
[2025-02-12_13-23-02-096] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-23-02-096.wav
[2025-02-12_13-23-07-152] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-23-07-152.wav
[2025-02-12_13-23-12-208] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-23-12-208.wav
[2025-02-12_13-23-17-264] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-23-17-264.wav
[2025-02-12_13-23-22-321] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-23-22-321.wav
[2025-02-12_13-23-27-377] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-23-27-377.wav
[2025-02-12_13-23-32-433] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-23-32-433.wav
[2025-02-12_13-23-37-489] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-23-37-489.wav
[2025-02-12_13-23-42-546] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-23-42-546.wav
[2025-02-12_13-23-47-602] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_13-23-47-602.wav
