[2025-02-12_16-11-52-425] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_16-11-52-425.wav | Frequencies: []
[2025-02-12_16-11-55-454] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-11-55-454.wav | Frequencies: []
[2025-02-12_16-14-02-202] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_16-14-02-202.wav | Frequencies: [1.0815520271589731, -0.7210346847726488, 0.7210346847726488, 0.961379579696865, -0.961379579696865, -0.24034489492421626, 0.24034489492421626, -0.12017244746210813, 0.12017244746210813, 0.0]
[2025-02-12_16-14-05-231] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-14-05-231.wav | Frequencies: [0.7210346847726488, 1.4420693695452975, -1.4420693695452975, 0.12017244746210813, -0.12017244746210813, 0.0, -0.6008622373105407, 0.6008622373105407, 0.3605173423863244, -0.3605173423863244]
[2025-02-12_16-14-08-239] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-14-08-239.wav | Frequencies: [0.961379579696865, -0.961379579696865, 0.4806897898484325, -0.4806897898484325, -0.841207132234757, 0.841207132234757, -0.3605173423863244, 0.3605173423863244, 0.6008622373105407, -0.6008622373105407]
[2025-02-12_16-14-11-268] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-14-11-268.wav | Frequencies: [-0.841207132234757, 0.841207132234757, -0.12017244746210813, 0.12017244746210813, 0.4806897898484325, -0.4806897898484325, 0.24034489492421626, -0.24034489492421626, 0.3605173423863244, -0.3605173423863244]
[2025-02-12_16-14-14-277] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-14-14-277.wav | Frequencies: [0.3605173423863244, -0.3605173423863244, -0.24034489492421626, 0.24034489492421626, 0.6008622373105407, -0.6008622373105407, -0.12017244746210813, 0.12017244746210813, 0.7210346847726488, -0.7210346847726488]
[2025-02-12_16-14-17-306] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-14-17-306.wav | Frequencies: [0.841207132234757, 0.6008622373105407, -0.6008622373105407, -0.7210346847726488, 0.7210346847726488, 0.0, -0.3605173423863244, 0.3605173423863244, 0.4806897898484325, -0.4806897898484325]
[2025-02-12_16-14-20-314] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-14-20-314.wav | Frequencies: [-0.841207132234757, 0.841207132234757, -0.7210346847726488, 0.7210346847726488, 1.3218969220831895, -1.3218969220831895, -0.24034489492421626, 0.24034489492421626, 0.6008622373105407, -0.6008622373105407]
[2025-02-12_16-14-23-344] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-14-23-344.wav | Frequencies: [0.6008622373105407, -0.6008622373105407, -0.12017244746210813, 0.12017244746210813, 1.0815520271589731, -1.0815520271589731, -0.4806897898484325, 0.4806897898484325, 0.3605173423863244, -0.3605173423863244]
[2025-02-12_16-14-26-352] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-14-26-352.wav | Frequencies: [-0.12017244746210813, 0.12017244746210813, -0.6008622373105407, 0.6008622373105407, 0.841207132234757, -0.841207132234757, -0.4806897898484325, 0.4806897898484325, 0.24034489492421626, -0.24034489492421626]
[2025-02-12_16-14-29-360] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-14-29-360.wav | Frequencies: [-1.2017244746210813, 1.0815520271589731, -1.0815520271589731, 0.0, 0.3605173423863244, -0.3605173423863244, 0.4806897898484325, -0.4806897898484325, 0.24034489492421626, -0.24034489492421626]
[2025-02-12_16-14-32-390] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-14-32-390.wav | Frequencies: [0.12017244746210813, -0.12017244746210813, -0.6008622373105407, 0.6008622373105407, 0.7210346847726488, -0.7210346847726488, -0.841207132234757, 0.841207132234757, -0.3605173423863244, 0.3605173423863244]
[2025-02-12_16-14-35-398] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-14-35-398.wav | Frequencies: [0.7210346847726488, -0.7210346847726488, 0.6008622373105407, -0.6008622373105407, -0.12017244746210813, 0.12017244746210813, -0.3605173423863244, 0.3605173423863244, 0.4806897898484325, -0.4806897898484325]
[2025-02-12_16-15-06-076] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-12_16-15-06-076.wav | Frequencies: [-0.5063153802338092, 0.5063153802338092, -0.07233076860482988, 0.07233076860482988, -0.14466153720965977, 0.14466153720965977, -0.21699230581448964, 0.21699230581448964, -0.28932307441931954, 0.28932307441931954]
[2025-02-12_16-15-11-088] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-15-11-088.wav | Frequencies: [-0.21699230581448964, 0.21699230581448964, -0.28932307441931954, 0.28932307441931954, 0.8679692232579586, -0.8679692232579586, 0.4339846116289793, -0.4339846116289793, 0.5063153802338092, -0.5063153802338092]
[2025-02-12_16-15-16-102] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-15-16-102.wav | Frequencies: [-0.5063153802338092, 0.5063153802338092, 0.36165384302414944, -0.36165384302414944, -0.4339846116289793, 0.4339846116289793, 0.14466153720965977, -0.14466153720965977, -0.650976917443469, 0.650976917443469]
[2025-02-12_16-15-21-115] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-15-21-115.wav | Frequencies: [-0.14466153720965977, 0.14466153720965977, -0.28932307441931954, 0.28932307441931954, 0.21699230581448964, -0.21699230581448964, 0.36165384302414944, -0.36165384302414944, -0.4339846116289793, 0.4339846116289793]
[2025-02-12_16-15-26-129] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-15-26-129.wav | Frequencies: [-1.5912769093062575, 1.5912769093062575, -0.28932307441931954, 0.28932307441931954, 0.36165384302414944, -0.36165384302414944, -0.5786461488386391, 0.5786461488386391, -0.4339846116289793, 0.4339846116289793]
[2025-02-12_16-15-31-142] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-15-31-142.wav | Frequencies: [0.9402999918627885, -0.9402999918627885, 0.650976917443469, -0.650976917443469, -0.7233076860482989, 0.7233076860482989, 0.14466153720965977, -0.14466153720965977, -0.5063153802338092, 0.5063153802338092]
[2025-02-12_16-15-36-156] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-15-36-156.wav | Frequencies: [-0.21699230581448964, 0.21699230581448964, -0.650976917443469, 0.650976917443469, -0.4339846116289793, 0.4339846116289793, -0.5063153802338092, 0.5063153802338092, -0.36165384302414944, 0.36165384302414944]
[2025-02-12_16-15-41-170] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-15-41-170.wav | Frequencies: [-0.21699230581448964, 0.21699230581448964, -0.9402999918627885, 0.9402999918627885, -0.8679692232579586, 0.8679692232579586, 0.36165384302414944, -0.36165384302414944, 0.5786461488386391, -0.5786461488386391]
[2025-02-12_16-15-46-183] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-15-46-183.wav | Frequencies: [0.650976917443469, -0.650976917443469, -0.4339846116289793, 0.4339846116289793, 1.0126307604676184, -1.0126307604676184, 0.21699230581448964, -0.21699230581448964, -0.7233076860482989, 0.7233076860482989]
[2025-02-12_16-15-51-218] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-15-51-218.wav | Frequencies: [-0.650976917443469, 0.650976917443469, 0.5786461488386391, -0.5786461488386391, -0.8679692232579586, 0.8679692232579586, 0.36165384302414944, -0.36165384302414944, -0.14466153720965977, 0.14466153720965977]
[2025-02-12_16-15-56-231] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-15-56-231.wav | Frequencies: [-0.28932307441931954, 0.28932307441931954, -0.5063153802338092, 0.5063153802338092, 0.8679692232579586, -0.8679692232579586, -0.36165384302414944, 0.36165384302414944, -0.5786461488386391, 0.5786461488386391]
[2025-02-12_16-16-01-245] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-16-01-245.wav | Frequencies: [-0.07233076860482988, 0.07233076860482988, -0.5786461488386391, 0.5786461488386391, -0.9402999918627885, 0.9402999918627885, 0.36165384302414944, -0.36165384302414944, -0.21699230581448964, 0.21699230581448964]
[2025-02-12_16-16-06-259] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-16-06-259.wav | Frequencies: [-0.7233076860482989, 0.7233076860482989, 0.5063153802338092, -0.5063153802338092, 0.36165384302414944, -0.36165384302414944, -0.650976917443469, 0.650976917443469, -0.4339846116289793, 0.4339846116289793]
[2025-02-12_16-16-11-272] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-16-11-272.wav | Frequencies: [-0.7233076860482989, 0.7233076860482989, 0.21699230581448964, -0.21699230581448964, -0.28932307441931954, 0.28932307441931954, -0.4339846116289793, 0.4339846116289793, 0.36165384302414944, -0.36165384302414944]
[2025-02-12_16-16-16-286] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-16-16-286.wav | Frequencies: [0.21699230581448964, -0.4339846116289793, 0.4339846116289793, 0.5063153802338092, -0.5063153802338092, -0.14466153720965977, 0.14466153720965977, 0.5786461488386391, -0.5786461488386391, 0.0]
[2025-02-12_16-16-21-299] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-16-21-299.wav | Frequencies: [-0.21699230581448964, 0.21699230581448964, 1.0126307604676184, -1.0126307604676184, -0.28932307441931954, 0.28932307441931954, -0.5063153802338092, 0.5063153802338092, 0.36165384302414944, -0.36165384302414944]
[2025-02-12_16-16-26-313] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-16-26-313.wav | Frequencies: [0.28932307441931954, -0.28932307441931954, -0.5063153802338092, 0.5063153802338092, 0.650976917443469, -0.650976917443469, -0.7233076860482989, 0.7233076860482989, -0.4339846116289793, 0.4339846116289793]
[2025-02-12_16-16-31-327] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-16-31-327.wav | Frequencies: [0.14466153720965977, -0.14466153720965977, -0.5786461488386391, 0.5786461488386391, -0.21699230581448964, 0.21699230581448964, -0.5063153802338092, 0.5063153802338092, -0.4339846116289793, 0.4339846116289793]
[2025-02-12_16-16-36-340] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-16-36-340.wav | Frequencies: [-0.4339846116289793, 0.4339846116289793, -0.7233076860482989, 0.7233076860482989, -0.650976917443469, 0.650976917443469, 0.5063153802338092, -0.5063153802338092, -0.36165384302414944, 0.36165384302414944]
[2025-02-12_16-16-41-375] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-16-41-375.wav | Frequencies: [0.5063153802338092, -0.5063153802338092, -0.21699230581448964, 0.21699230581448964, -0.36165384302414944, 0.36165384302414944, -0.650976917443469, 0.650976917443469, 0.5786461488386391, -0.5786461488386391]
[2025-02-12_16-16-46-389] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-16-46-389.wav | Frequencies: [-0.5786461488386391, 0.5786461488386391, -0.5063153802338092, 0.5063153802338092, -0.28932307441931954, 0.28932307441931954, 0.36165384302414944, -0.36165384302414944, -0.4339846116289793, 0.4339846116289793]
[2025-02-12_16-16-51-403] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-16-51-403.wav | Frequencies: [-0.5063153802338092, 0.5063153802338092, -0.8679692232579586, 0.8679692232579586, 0.4339846116289793, -0.4339846116289793, -0.36165384302414944, 0.36165384302414944, -0.5786461488386391, 0.5786461488386391]
[2025-02-12_16-16-56-416] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-16-56-416.wav | Frequencies: [-0.8679692232579586, 0.8679692232579586, -0.9402999918627885, 0.9402999918627885, 0.28932307441931954, -0.28932307441931954, -0.4339846116289793, 0.4339846116289793, 0.5786461488386391, -0.5786461488386391]
[2025-02-12_16-17-01-430] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-17-01-430.wav | Frequencies: [-1.4466153720965977, 1.4466153720965977, -0.5063153802338092, 0.5063153802338092, 0.9402999918627885, -0.9402999918627885, 0.5786461488386391, -0.5786461488386391, -0.36165384302414944, 0.36165384302414944]
[2025-02-12_16-17-06-444] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-17-06-444.wav | Frequencies: [-0.36165384302414944, 0.36165384302414944, -0.5063153802338092, 0.5063153802338092, -0.5786461488386391, 0.5786461488386391, 0.650976917443469, -0.650976917443469, 0.28932307441931954, -0.28932307441931954]
[2025-02-12_16-17-11-457] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-17-11-457.wav | Frequencies: [0.4339846116289793, -0.4339846116289793, -1.8082692151207471, 1.8082692151207471, -0.7233076860482989, 0.7233076860482989, 0.28932307441931954, -0.28932307441931954, 0.650976917443469, -0.650976917443469]
[2025-02-12_16-17-16-471] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-17-16-471.wav | Frequencies: [-0.7233076860482989, 0.7233076860482989, -0.650976917443469, 0.650976917443469, -0.4339846116289793, 0.4339846116289793, -0.5063153802338092, 0.5063153802338092, -0.36165384302414944, 0.36165384302414944]
[2025-02-12_16-17-21-484] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-17-21-484.wav | Frequencies: [-1.6636076779110873, 1.6636076779110873, -0.8679692232579586, 0.8679692232579586, 0.650976917443469, -0.650976917443469, -0.28932307441931954, 0.28932307441931954, -0.5063153802338092, 0.5063153802338092]
[2025-02-12_16-17-26-498] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-17-26-498.wav | Frequencies: [1.0849615290724484, -1.0849615290724484, -1.229623066282108, 1.229623066282108, -1.5189461407014275, 1.5189461407014275, 0.5786461488386391, -0.5786461488386391, 0.28932307441931954, -0.28932307441931954]
[2025-02-12_16-17-31-533] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-17-31-533.wav | Frequencies: [-1.0126307604676184, 1.0126307604676184, -0.7233076860482989, 0.7233076860482989, 0.28932307441931954, -0.28932307441931954, -0.21699230581448964, 0.21699230581448964, 0.650976917443469, -0.650976917443469]
[2025-02-12_16-17-36-546] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-17-36-546.wav | Frequencies: [-0.7233076860482989, 0.7233076860482989, 0.4339846116289793, -0.4339846116289793, 0.7956384546531288, -0.7956384546531288, -0.28932307441931954, 0.28932307441931954, -0.5063153802338092, 0.5063153802338092]
[2025-02-12_16-17-41-560] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-17-41-560.wav | Frequencies: [-0.650976917443469, -0.36165384302414944, 0.36165384302414944, 0.0, 0.5063153802338092, -0.5063153802338092, -0.4339846116289793, 0.4339846116289793, -0.14466153720965977, 0.14466153720965977]
[2025-02-12_16-17-46-574] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-17-46-574.wav | Frequencies: [-0.28932307441931954, 0.0, 0.650976917443469, -0.650976917443469, -0.21699230581448964, 0.21699230581448964, -0.14466153720965977, 0.14466153720965977, -0.4339846116289793, 0.4339846116289793]
[2025-02-12_16-17-51-587] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-17-51-587.wav | Frequencies: [0.28932307441931954, -0.28932307441931954, 0.4339846116289793, -0.4339846116289793, 0.7956384546531288, -0.7956384546531288, -0.650976917443469, 0.650976917443469, 0.5063153802338092, -0.5063153802338092]
[2025-02-12_16-17-56-601] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-17-56-601.wav | Frequencies: [-0.5786461488386391, 0.5786461488386391, 0.36165384302414944, -0.36165384302414944, -0.07233076860482988, 0.07233076860482988, -0.21699230581448964, 0.21699230581448964, 0.4339846116289793, -0.4339846116289793]
[2025-02-12_16-18-01-614] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-12_16-18-01-614.wav | Frequencies: [0.28932307441931954, -0.28932307441931954, 0.9402999918627885, -0.9402999918627885, -0.5063153802338092, 0.5063153802338092, 0.650976917443469, -0.650976917443469, 0.36165384302414944, -0.36165384302414944]
