[2025-02-13_19-08-52-097] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-08-52-097.wav | Frequencies: [np.float64(0.3605227579990987), np.float64(17.18491813129037), np.float64(8.532371939312002), np.float64(45.66621601321917), np.float64(27.7602523659306), np.float64(33.768964999248915), np.float64(67.05723298783236), np.float64(58.04416403785489), np.float64(77.63256722247259), np.float64(202.8541385008262)] | Type: Normal Sound Range
[2025-02-13_19-08-55-125] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-08-55-125.wav | Frequencies: [np.float64(0.24034850533273247), np.float64(6.249061138651045), np.float64(17.785789394622203), np.float64(45.66621601321917), np.float64(37.25401832657353), np.float64(27.3997296079315), np.float64(55.8810274898603), np.float64(76.07030193780983), np.float64(67.17740724049872), np.float64(94.09643983776476)] | Type: Normal Sound Range
[2025-02-13_19-08-58-134] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-08-58-134.wav | Frequencies: [np.float64(0.48069701066546494), np.float64(18.026137899954936), np.float64(6.970106654649242), np.float64(28.240949376596067), np.float64(49.391617845876524), np.float64(63.45200540784137), np.float64(36.17245005257624), np.float64(77.39221871713985), np.float64(57.32311852185669), np.float64(43.14255670722548)] | Type: Normal Sound Range
[2025-02-13_19-11-01-225] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-11-01-225.wav | Frequencies: [np.float64(0.7210455159981974), np.float64(138.0802163136548), np.float64(19.82875168995043), np.float64(49.031095087877425), np.float64(84.7228481297882), np.float64(177.73771969355568), np.float64(231.81613339342047), np.float64(115.72780531771069), np.float64(156.82739972960795), np.float64(197.9269941415052)] | Type: Normal Sound Range
[2025-02-13_19-11-04-254] Confidence: 0.90 | Text: hello | Audio: audio_logs/speech_2025-02-13_19-11-04-254.wav | Frequencies: [np.float64(1.4420910319963949), np.float64(613.249211356467), np.float64(712.3929698062191), np.float64(518.792248760703), np.float64(137.7196935556557), np.float64(675.9801712483101), np.float64(484.9031095087878), np.float64(762.8661559260929), np.float64(562.415502478594), np.float64(117.53041910770618)] | Type: Normal Sound Range
[2025-02-13_19-11-07-261] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-11-07-261.wav | Frequencies: [np.float64(1.8026137899954935), np.float64(137.7196935556557), np.float64(68.85984677782785), np.float64(24.155024785939613), np.float64(159.71158179360074), np.float64(49.031095087877425), np.float64(90.13068949977468), np.float64(182.06399278954484), np.float64(216.67417755745834), np.float64(109.598918431726)] | Type: Normal Sound Range
[2025-02-13_19-11-10-291] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-11-10-291.wav | Frequencies: [np.float64(1.8026137899954935), np.float64(137.7196935556557), np.float64(19.82875168995043), np.float64(79.67552951780081), np.float64(49.031095087877425), np.float64(228.93195132942768), np.float64(109.23839567372691), np.float64(177.01667417755746), np.float64(158.99053627760253), np.float64(198.6480396575034)] | Type: Normal Sound Range
[2025-02-13_19-11-13-299] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-11-13-299.wav | Frequencies: [np.float64(1.0815682739972963), np.float64(137.7196935556557), np.float64(68.13880126182966), np.float64(20.910319963947725), np.float64(43.26273095989185), np.float64(170.1667417755746), np.float64(92.65434880576836), np.float64(217.39522307345652), np.float64(111.0410094637224), np.float64(236.86345200540785)] | Type: Normal Sound Range
[2025-02-13_19-11-16-328] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-11-16-328.wav | Frequencies: [np.float64(0.7210455159981974), np.float64(21.270842721946824), np.float64(63.452005407841376), np.float64(137.7196935556557), np.float64(41.82063992789545), np.float64(113.204146011717), np.float64(82.55971158179361), np.float64(157.54844524560613), np.float64(196.8454258675079), np.float64(217.03470031545743)] | Type: Normal Sound Range
[2025-02-13_19-11-19-336] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-11-19-336.wav | Frequencies: [np.float64(1.4420910319963949), np.float64(20.910319963947725), np.float64(55.1599819738621), np.float64(137.7196935556557), np.float64(113.204146011717), np.float64(73.90716538981523), np.float64(177.37719693555658), np.float64(155.74583145561064), np.float64(221.72149616944571), np.float64(91.93330328977018)] | Type: Normal Sound Range
[2025-02-13_19-11-22-365] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-11-22-365.wav | Frequencies: [np.float64(2.8841820639927898), np.float64(138.0802163136548), np.float64(21.631365479945924), np.float64(54.799459215863), np.float64(102.38846327174403), np.float64(73.18611987381703), np.float64(762.5056331680938), np.float64(739.0716538981524), np.float64(203.69535826949078), np.float64(689.6800360522758)] | Type: Normal Sound Range
